Character,Voiced by,Description/role,First appearance 
Richard ,"Pamela Hayden, Nancy Cartwright",Student at Springfield Elementary School. ,"""Bart the Genius"""
"Riviera, Dr. Nick",Hank Azaria ,Medical doctor. ,"""Bart Gets Hit by a Car"""
Santa's Little Helper ,"Dan Castellaneta, Frank Welker",The Simpson family's pet dog. ,"""Simpsons Roasting on an Open Fire"""
Sherri and Terri ,Russi Taylor ,Identical twins; Students at Springfield Elementary Schools. ,"""Homer's Odyssey"""
"Shutton, Dave",Harry Shearer ,Reporter for The Springfield Shopper. ,"""Two Cars in Every Garage and Three Eyes on Every Fish"""
Sideshow Bob ,Kelsey Grammer ,Criminal mastermind and Krusty the Clown Show ex-operator and sidekick. ,"""The Telltale Head"""
Sideshow Mel ,Dan Castellaneta ,The Krusty the Clown Show sidekick. ,"""Itchy & Scratchy & Marge"""
"Simpson, Grampa Abraham",Dan Castellaneta ,"Homer Simpson's father; Bart, Lisa, and Maggie Simpson's grandfather.","""Grampa and the Kids"" (The Simpsons shorts)"
"Simpson, Amber",Pamela Hayden ,"Homer Simpson's deceased""Vegas wife.""","""Viva Ned Flanders"""
"Simpson, Mona","Glenn Close, Tress MacNeille, Maggie Roswell",Deceased estranged mother of Homer Simpson and wife of Abe Simpson. ,"""Oh Brother, Where Art Thou?"""
"Skinner, Agnes",Tress MacNeille ,Seymour Skinner's mother. ,"""The Crepes of Wrath"""
"Skinner, Principal Seymour",Harry Shearer ,Principal of Springfield Elementary School. ,"""Simpsons Roasting on an Open Fire"""
"Smithers, Waylon",Harry Shearer ,Monty Burns's personal assistant. ,"""Homer's Odyssey"""
Snake ,Hank Azaria ,Recidivist. ,"""The War of the Simpsons"""
Snowball ,Frank Welker ,The Simpson family's pet cats. ,"""Simpsons Roasting on an Open Fire"""
"Snyder, Judge Roy",Harry Shearer ,Springfield judge. ,"""Krusty Gets Busted"""
Space Mutants ,Unvoiced ,Monsters of the films of the same name. ,"""Scary Movie"" (The Simpsons shorts)"
"Springfield, Jebediah",Harry Shearer ,Founder of Springfield; local hero. ,"""The Telltale Head"""
"Spuckler, Cletus",Hank Azaria ,Yokel. ,"""Bart Gets an Elephant"""
"Spuckler, Brandine",Tress MacNeille ,Cletus Spuckler's wife and sister. ,"""Scenes from the Class Struggle in Springfield"""
Squeaky-Voiced Teen ,Dan Castellaneta ,Service industry. ,"""Principal Charming"""
"Szyslak, Moe",Hank Azaria ,Owner of Moe's Tavern. ,"""Simpsons Roasting on an Open Fire"""
"Tatum, Drederick",Hank Azaria ,Professional boxer.
"Taylor, Allison","Winona Ryder, Pamela Hayden",Springfield Elementary Student. ,"""Lisa's Rival"""
"Teeny, Mr.",Dan Castellaneta ,The Krusty the Clown Show trained monkey. 
"Terwilliger, Cecil",David Hyde Pierce ,Sideshow Bob's younger brother. ,"""Brother from Another Series"""
"Tightlips, Johnny",Hank Azaria ,One of Fat Tony's henchmen. ,"""Insane Clown Poppy"""
Üter ,Russi Taylor ,Student at Springfield Elementary School. ,"""Treehouse of Horror IV"""
"Van Houten, Kirk",Hank Azaria ,Milhouse Van Houten's father; factory worker. ,"""Bart's Friend Falls in Love"""
"Van Houten, Luann",Maggie Roswell ,Kirk Van Houten's wife; Milhouse's mother. ,"""Homer Defined"""
"Van Houten, Milhouse",Pamela Hayden ,Bart Simpson's best friend; Student at Springfield Elementary School. ,"""Simpsons Roasting on an Open Fire"""
?Dr. Velimirovic ,Hank Azaria ,Plastic surgeon. ,"""Pygmoelian"""
Veterinarian ,Hank Azaria ,Veterinarian. ,"""Dog of Death"""
"Wiggum, Chief Clancy",Hank Azaria ,Springfield Chief of Police. ,"""Homer's Odyssey"""
"Wiggum, Ralph",Nancy Cartwright ,Student at Springfield Elementary School. ,"""Moaning Lisa"""
"Wiggum, Sarah",Pamela Hayden ,Chief Wiggum's wife; Ralph Wiggum's mother. ,"""Duffless"""
Groundskeeper Willie ,Dan Castellaneta ,Janitor of Springfield Elementary School. ,"""Principal Charming"""
Wiseguy ,Hank Azaria ,Service industry. ,"""The Way We Was"""
"Wolfcastle, Rainier",Harry Shearer ,Actor; star of McBain films. ,"""The Way We Was"""
Yes Guy ,Dan Castellaneta ,Service industry. ,"""Mayored to the Mob"""
"Ziff, ArtieArtie Ziff","Jon Lovitz, Dan Castellaneta",Former billionaire. ,"""The Way We Was"
